policy,primary_estimator,secondary_estimator,policy_value_dr,policy_value_dr_ci_low,policy_value_dr_ci_high,policy_value_ips,policy_value_plugin,policy_value_fqe,ips_gap_vs_dr,plugin_gap_vs_dr,fqe_gap_vs_dr
non_causal_fqi,policy_value_dr,policy_value_ips,-4.456632596899403,-4.635994437697582,-4.280429637711648,-4.174302135185494,-4.843914131650711,-17.64893035795086,0.28233046171390885,-0.3872815347513079,-13.192297761051456
heuristic_risk_rule,policy_value_dr,policy_value_ips,-4.63770390236778,-4.786996540471441,-4.4996588492801655,-4.754386215580871,-4.806007237396388,-17.284418496374574,-0.11668231321309097,-0.16830333502860828,-12.646714594006795
causal_no_vehicle_id_fqi,policy_value_dr,policy_value_ips,-4.670348275548825,-4.846986011227725,-4.4864652466205515,-4.263002501600034,-4.833723390339196,-17.07726037761045,0.40734577394879157,-0.16337511479037037,-12.406912102061625
causal_no_history_fqi,policy_value_dr,policy_value_ips,-4.686701593289249,-4.862471551008446,-4.501942391128828,-4.286738200150216,-4.832476711415687,-17.046916204294693,0.39996339313903295,-0.14577511812643795,-12.360214611005443
never_eco,policy_value_dr,policy_value_ips,-4.692417954637326,-4.890973358244752,-4.517375847320646,-4.691244035616366,-4.773783473981008,-17.305376849269166,0.0011739190209603123,-0.08136551934368175,-12.61295889463184
causal_fqi,policy_value_dr,policy_value_ips,-4.694092081085524,-4.88560617494938,-4.529860285470859,-4.288815809850753,-4.831580129800899,-17.026852050106886,0.4052762712347704,-0.13748804871537512,-12.332759969021362
minimal_fqi,policy_value_dr,policy_value_ips,-4.810388211039625,-4.988181972639593,-4.601393371642169,-4.423082043165765,-4.870075467039215,-17.634516050084926,0.3873061678738603,-0.059687255999589794,-12.8241278390453
logged_behavior,policy_value_dr,policy_value_ips,-4.82581953473445,-5.055305925551822,-4.577199240669998,-4.8701647844383045,-4.937245783922881,-17.70418955326401,-0.04434524970385478,-0.11142624918843147,-12.878370018529559
always_eco,policy_value_dr,policy_value_ips,-5.061007948717759,-5.2209910394286805,-4.914050238562683,-5.065859585642068,-5.091068678562508,-19.354148424847626,-0.004851636924309233,-0.030060729844749723,-14.293140476129867
