policy,min_propensity,q_gap_threshold,val_policy_value_dr,val_policy_value_ips,val_policy_value_plugin,val_override_rate,val_fallback_rate,val_low_support_rate,val_match_rate,val_eco_rate,test_policy_value_dr,test_policy_value_ips,test_policy_value_plugin,test_override_rate,test_fallback_rate,test_low_support_rate,test_match_rate,test_eco_rate,is_default,selected_for_main_paper
non_causal_fqi,0.05,0.0,-4.55138507944055,-4.561329465108642,-4.738463808427315,0.4797747407458279,0.0029530938809147725,0.0029530938809147725,0.5202252592541721,0.4990041892727148,-4.641751015286525,-4.6437705981540205,-4.84237162743311,0.48169705469845725,0.003015427769985975,0.003015427769985975,0.5183029453015428,0.4779102384291725,0,0
non_causal_fqi,0.05,0.25,-4.447181342918448,-4.258712117792921,-4.738650709554688,0.35608818075681614,0.2636494746239956,0.0029530938809147725,0.6439118192431839,0.5092370029530939,-4.530387752795161,-4.338338320110684,-4.84385765624128,0.3551192145862553,0.25862552594670407,0.003015427769985975,0.6448807854137447,0.491164095371669,0,0
non_causal_fqi,0.05,0.5,-4.395062583842283,-4.127519263751174,-4.741755589206721,0.2567818144358217,0.4762722340498592,0.0029530938809147725,0.7432181855641783,0.5066272920815879,-4.456632596899403,-4.174302135185494,-4.843914131650711,0.25743338008415145,0.46963534361851333,0.003015427769985975,0.7425666199158485,0.49095371669004206,1,1
non_causal_fqi,0.1,0.0,-4.555953575191545,-4.580630753888755,-4.74131945433984,0.4674129524071149,0.016894444062907767,0.016894444062907767,0.5325870475928851,0.5112286244076643,-4.637085729078567,-4.665196199460026,-4.846785040245398,0.4681626928471248,0.0182328190743338,0.0182328190743338,0.5318373071528751,0.4914446002805049,0,0
non_causal_fqi,0.1,0.25,-4.452645314316196,-4.280177327075291,-4.741474408666568,0.3466108096971362,0.27429434791566515,0.016894444062907767,0.6533891903028638,0.5185770208090104,-4.5293861620443305,-4.362683158341728,-4.848080516763708,0.3439691444600281,0.2709677419354839,0.0182328190743338,0.656030855539972,0.5023141654978962,0,0
non_causal_fqi,0.1,0.5,-4.403277625366548,-4.14918980717808,-4.7444937027308125,0.2493647414325939,0.4847194560813131,0.016894444062907767,0.7506352585674061,0.5139070118810521,-4.458756408626901,-4.199618893216382,-4.848027148814592,0.24810659186535763,0.4799438990182328,0.0182328190743338,0.7518934081346423,0.5002805049088359,0,0
non_causal_fqi,0.15,0.0,-4.559797437388331,-4.605187358163067,-4.746041142301102,0.44777144426893756,0.04003845889705377,0.04003845889705377,0.5522285557310624,0.5264748300254103,-4.66711386859975,-4.714644329870512,-4.853401123052938,0.444109396914446,0.04551192145862552,0.04551192145862552,0.555890603085554,0.5122720897615708,0,0
non_causal_fqi,0.15,0.25,-4.464764067372226,-4.316046397501925,-4.745865799900925,0.3326694595151432,0.29057070256163725,0.04003845889705377,0.6673305404848568,0.5294966005082069,-4.560495311627984,-4.414696936722705,-4.854557171340832,0.32664796633941096,0.29046283309957927,0.04551192145862552,0.673352033660589,0.517531556802244,0,0
non_causal_fqi,0.15,0.5,-4.412526894784553,-4.181329967505449,-4.748628274918175,0.2394753107616235,0.4966691848087357,0.04003845889705377,0.7605246892383765,0.5215987912918069,-4.491312659714475,-4.24915756165264,-4.854017947895686,0.235273492286115,0.494179523141655,0.04551192145862552,0.764726507713885,0.5122720897615708,0,0
causal_fqi,0.05,0.0,-4.495310074201768,-4.578305638629145,-4.721491615284528,0.4775084128837305,0.0028844172790330335,0.0028844172790330335,0.5224915871162695,0.46418515211867317,-4.672088474915151,-4.672152200094962,-4.8249453131086515,0.4805750350631136,0.0017531556802244039,0.0017531556802244039,0.5194249649368864,0.45869565217391306,0,0
causal_fqi,0.05,0.25,-4.477434949300536,-4.3038648134251325,-4.723197478775797,0.34832772474417967,0.2635121214202321,0.0028844172790330335,0.6516722752558204,0.4796373875420644,-4.681844508960845,-4.392819346255386,-4.827403843769895,0.3570827489481066,0.2579242636746143,0.0017531556802244039,0.6429172510518935,0.4711079943899018,0,0
causal_fqi,0.05,0.5,-4.5002076181233885,-4.212438809956977,-4.725836209027869,0.2537600439530252,0.4715335485200192,0.0028844172790330335,0.7462399560469748,0.48794725636975483,-4.694092081085524,-4.288815809850753,-4.831580129800899,0.25834502103786816,0.4659186535764376,0.0017531556802244039,0.7416549789621318,0.47784011220196354,1,1
