policy,policy_value_dr,policy_value_dr_ci_low,policy_value_dr_ci_high,fallback_rate,override_rate,delta_vs_causal_fqi,removed_columns,ablation_note
non_causal_fqi,-4.520690868651498,-4.707074399896758,-4.336142119670751,0.47650771388499297,0.2532959326788219,0.17340121243402606,,"Uses broader deployable proxies, including risk and compatibility features, as the non-causal comparator."
causal_no_vehicle_id_fqi,-4.670348275548825,-4.846986011227726,-4.486465246620551,0.4800140252454418,0.2497194950911641,0.023743805536699192,vehicle_id,Removes vehicle identity to test whether policy gains depend on vehicle-specific memorization.
causal_no_history_fqi,-4.686701593289247,-4.862471551008446,-4.501942391128828,0.4750350631136045,0.25112201963534364,0.0073904877962771565,"prior_eco_mode,prior_reward_primary,rolling_cumulative_lateness,rolling_incident_count,rolling_mean_traffic",Removes rolling and prior-history features while preserving trajectory position.
causal_fqi,-4.6940920810855244,-4.88560617494938,-4.529860285470859,0.4659186535764376,0.25834502103786816,0.0,,Reference confounder-aware policy with the full backdoor-guided state.
