direct_match_reward,match_rate,override_rate,policy_value_plugin,policy_value_ips,policy_value_dr,estimated_lateness_min,estimated_co2_kg,estimated_crash,estimated_near_miss,estimated_on_time,eco_rate,fallback_rate,low_support_rate,policy,reward_name,policy_value_fqe
-4.076981584663331,0.7425666199158485,0.25743338008415145,-4.843914131650711,-4.174302135185494,-4.456632596899403,1.9955978296658299,3.734357920088606,0.10618267913974323,0.5198089632848638,0.8177990343124784,0.49095371669004206,0.46963534361851333,0.003015427769985975,non_causal_fqi,primary,
-4.349218653846155,0.5105189340813464,0.4894810659186536,-4.806007237396388,-4.754386215580871,-4.63770390236778,1.9655050682637265,3.7118849454643983,0.10589258461739555,0.5195996669329125,0.8170522458713028,0.6,0.0,0.0,heuristic_risk_rule,primary,
-4.193507038040939,0.7502805049088359,0.2497194950911641,-4.833723390339196,-4.263002501600034,-4.670348275548825,1.9845570170587887,3.735822275547812,0.10623484406616883,0.5198267387545781,0.8181194416466115,0.4829593267882188,0.4800140252454418,0.0016830294530154279,causal_no_vehicle_id_fqi,primary,
-4.196963629553329,0.7488779803646564,0.25112201963534364,-4.832476711415687,-4.286738200150216,-4.686701593289249,1.983629938279852,3.734882720579832,0.10622706618693789,0.5197997835752444,0.8181112025739162,0.48632538569424966,0.4750350631136045,0.0024544179523141654,causal_no_history_fqi,primary,
-4.756654362858084,0.42594670406732116,0.5740532959326788,-4.773783473981008,-4.691244035616366,-4.692417954637326,1.8879995412064905,3.8462128412749417,0.10741699996994869,0.5211856824100213,0.821627765575071,0.0,0.0,0.0,never_eco,primary,
-4.205229330559758,0.7416549789621318,0.25834502103786816,-4.831580129800899,-4.288815809850753,-4.694092081085524,1.982181055767413,3.736839525028662,0.10623617269842076,0.5198347210217726,0.818222475754527,0.47784011220196354,0.4659186535764376,0.0017531556802244039,causal_fqi,primary,
-4.353617783321454,0.7870967741935484,0.2129032258064516,-4.870075467039215,-4.423082043165765,-4.810388211039625,2.0207099673354523,3.736536047528244,0.10623708271271594,0.5198437315354776,0.8173281748519308,0.4826086956521739,0.5507012622720897,0.0019635343618513326,minimal_fqi,primary,
-4.870789284712482,1.0,0.0,-4.937245783922881,-4.8701647844383045,-4.82581953473445,2.0941986143577993,3.715819593573729,0.10607546179615684,0.5195643164443842,0.8159836429898483,0.5740532959326788,0.0,0.0,logged_behavior,primary,
-4.955477229416077,0.5740532959326788,0.42594670406732116,-5.091068678562508,-5.065859585642068,-5.061007948717759,2.2790205611536254,3.618228833199939,0.10511568087978226,0.5186227709855359,0.8114486440600902,1.0,0.0,0.0,always_eco,primary,
-5.098826990272925,0.7425666199158485,0.25743338008415145,-6.200451576039115,-5.231408854145218,-5.663658189418457,1.9955978296658299,3.734357920088606,0.10618267913974323,0.5198089632848638,0.8177990343124784,0.49095371669004206,0.46963534361851333,0.003015427769985975,non_causal_fqi,service_heavy,
-5.49493212912088,0.5105189340813464,0.4894810659186536,-6.148956113149515,-6.08857959738726,-5.917496334279913,1.9655050682637265,3.7118849454643983,0.10589258461739555,0.5195996669329125,0.8170522458713028,0.6,0.0,0.0,heuristic_risk_rule,service_heavy,
-6.034156947645703,0.42594670406732116,0.5740532959326788,-6.0691816428066785,-5.937786782512412,-5.943234093440229,1.8879995412064905,3.8462128412749417,0.10741699996994869,0.5211856824100213,0.821627765575071,0.0,0.0,0.0,never_eco,service_heavy,
-5.262291419758856,0.7502805049088359,0.2497194950911641,-6.184716098200725,-5.354410531142865,-5.965098836542779,1.9845570170587887,3.735822275547812,0.10623484406616883,0.5198267387545781,0.8181194416466115,0.4829593267882188,0.4800140252454418,0.0016830294530154279,causal_no_vehicle_id_fqi,service_heavy,
-5.268544554733589,0.7488779803646564,0.25112201963534364,-6.183057324446749,-5.391667701470546,-5.991734511951077,1.983629938279852,3.734882720579832,0.10622706618693789,0.5197997835752444,0.8181112025739162,0.48632538569424966,0.4750350631136045,0.0024544179523141654,causal_no_history_fqi,service_heavy,
-5.279232479198185,0.7416549789621318,0.25834502103786816,-6.181293771600352,-5.39397248470136,-6.000939313063187,1.982181055767413,3.736839525028662,0.10623617269842076,0.5198347210217726,0.818222475754527,0.47784011220196354,0.4659186535764376,0.0017531556802244039,causal_fqi,service_heavy,
-5.487588471133286,0.7870967741935484,0.2129032258064516,-6.239094742915027,-5.576383395229075,-6.154359227462592,2.0207099673354523,3.736536047528244,0.10623708271271594,0.5198437315354776,0.8173281748519308,0.4826086956521739,0.5507012622720897,0.0019635343618513326,minimal_fqi,service_heavy,
-6.2617130154277705,1.0,0.0,-6.344478371781106,-6.246034975745599,-6.193992438022661,2.0941986143577993,3.715819593573729,0.10607546179615684,0.5195643164443842,0.8159836429898483,0.5740532959326788,0.0,0.0,logged_behavior,service_heavy,
-6.430559284143659,0.5740532959326788,0.42594670406732116,-6.5976102085644275,-6.583181837098279,-6.573071824172431,2.2790205611536254,3.618228833199939,0.10511568087978226,0.5186227709855359,0.8114486440600902,1.0,0.0,0.0,always_eco,service_heavy,
-4.5291562942676356,0.7425666199158485,0.25743338008415145,-5.191666149735266,-4.621506034303201,-4.837831583212413,1.9955978296658299,3.734357920088606,0.10618267913974323,0.5198089632848638,0.8177990343124784,0.49095371669004206,0.46963534361851333,0.003015427769985975,non_causal_fqi,sustainability_heavy,
-4.760148846153847,0.5105189340813464,0.4894810659186536,-5.155283212836522,-5.099071667425624,-5.001502330101775,1.9655050682637265,3.7118849454643983,0.10589258461739555,0.5195996669329125,0.8170522458713028,0.6,0.0,0.0,heuristic_risk_rule,sustainability_heavy,
